Entidad,Fecha,Cuenta
Jalisco,2017-06-01,40
Jalisco,2017-07-01,32
Jalisco,2017-08-01,42
Jalisco,2017-09-01,35
Jalisco,2017-10-01,30
Jalisco,2017-11-01,35
Jalisco,2017-12-01,45
Jalisco,2018-01-01,30
Jalisco,2018-02-01,14
Jalisco,2018-03-01,20
Jalisco,2018-04-01,19
Jalisco,2018-05-01,38
Jalisco,2018-06-01,29
Jalisco,2018-07-01,15
Jalisco,2018-08-01,29
Jalisco,2018-09-01,26
Jalisco,2018-10-01,64
Jalisco,2018-11-01,19
Jalisco,2018-12-01,15
Jalisco,2019-01-01,19
Jalisco,2019-02-01,21
Jalisco,2019-03-01,21
Jalisco,2019-04-01,38
Jalisco,2019-05-01,35
Jalisco,2019-06-01,31
Jalisco,2019-07-01,17
Jalisco,2019-08-01,20
Jalisco,2019-09-01,23
Jalisco,2019-10-01,19
Jalisco,2019-11-01,25
Jalisco,2019-12-01,48
Jalisco,2020-01-01,29
Jalisco,2020-02-01,17
Jalisco,2020-03-01,18
Jalisco,2020-04-01,25
Jalisco,2020-05-01,27
Jalisco,2020-06-01,29
Jalisco,2020-07-01,27
Jalisco,2020-08-01,24
Jalisco,2020-09-01,25
Jalisco,2020-10-01,29
Jalisco,2020-11-01,24
Jalisco,2020-12-01,31
Jalisco,2021-01-01,31
Jalisco,2021-02-01,27
Jalisco,2021-03-01,26
Jalisco,2021-04-01,23
Jalisco,2021-05-01,23
Jalisco,2021-06-01,27
Jalisco,2021-07-01,25
Jalisco,2021-08-01,14
Jalisco,2021-09-01,26
Jalisco,2021-10-01,18
Jalisco,2021-11-01,14
Jalisco,2021-12-01,20
Jalisco,2022-01-01,17
Jalisco,2022-02-01,17
Jalisco,2022-03-01,11
Jalisco,2022-04-01,24
Jalisco,2022-05-01,24
Jalisco,2022-06-01,11
Jalisco,2022-07-01,20
Jalisco,2022-08-01,33
Jalisco,2022-09-01,38
Jalisco,2022-10-01,19
Jalisco,2022-11-01,15
Jalisco,2022-12-01,12
Jalisco,2023-01-01,4
Jalisco,2023-02-01,4
Jalisco,2023-03-01,9
Jalisco,2023-04-01,2
Jalisco,2023-05-01,3
Jalisco,2023-06-01,6
Jalisco,2023-07-01,4
Jalisco,2023-08-01,10
Jalisco,2023-09-01,8
Jalisco,2023-10-01,38
Jalisco,2023-11-01,29
Jalisco,2023-12-01,30
Michoacán,2017-01-01,17
Michoacán,2017-02-01,8
Michoacán,2017-03-01,17
Michoacán,2017-04-01,52
Michoacán,2017-05-01,24
Michoacán,2017-06-01,28
Michoacán,2017-07-01,25
Michoacán,2017-08-01,16
Michoacán,2017-09-01,23
Michoacán,2017-10-01,23
Michoacán,2017-11-01,29
Michoacán,2017-12-01,36
Michoacán,2018-01-01,12
Michoacán,2018-02-01,21
Michoacán,2018-03-01,23
Michoacán,2018-04-01,23
Michoacán,2018-05-01,25
Michoacán,2018-06-01,16
Michoacán,2018-07-01,18
Michoacán,2018-08-01,20
Michoacán,2018-09-01,20
Michoacán,2018-10-01,19
Michoacán,2018-11-01,11
Michoacán,2018-12-01,21
Michoacán,2019-01-01,18
Michoacán,2019-02-01,18
Michoacán,2019-03-01,21
Michoacán,2019-04-01,20
Michoacán,2019-05-01,11
Michoacán,2019-06-01,17
Michoacán,2019-07-01,11
Michoacán,2019-08-01,15
Michoacán,2019-09-01,10
Michoacán,2019-10-01,16
Michoacán,2019-11-01,8
Michoacán,2019-12-01,9
Michoacán,2020-01-01,11
Michoacán,2020-02-01,11
Michoacán,2020-03-01,21
Michoacán,2020-04-01,8
Michoacán,2020-05-01,8
Michoacán,2020-06-01,17
Michoacán,2020-07-01,10
Michoacán,2020-08-01,10
Michoacán,2020-09-01,18
Michoacán,2020-10-01,7
Michoacán,2020-11-01,5
Michoacán,2020-12-01,11
Michoacán,2021-01-01,6
Michoacán,2021-02-01,6
Michoacán,2021-03-01,14
Michoacán,2021-04-01,15
Michoacán,2021-05-01,18
Michoacán,2021-06-01,20
Michoacán,2021-07-01,18
Michoacán,2021-08-01,19
Michoacán,2021-09-01,11
Michoacán,2021-10-01,8
Michoacán,2021-11-01,23
Michoacán,2021-12-01,6
Michoacán,2022-01-01,8
Michoacán,2022-02-01,8
Michoacán,2022-03-01,6
Michoacán,2022-04-01,3
Michoacán,2022-05-01,5
Michoacán,2022-06-01,4
Michoacán,2022-07-01,17
Michoacán,2022-08-01,4
